ISSN;Título;Estrato;Hindex5;Hindex SJR;JIF;5 JIF;Eigenfactor;Article influence;
1809-4783;INFORMAÇÃO & SOCIEDADE (UFPB. ONLINE);B1;0;3;0.086;0.135;0.00004;0.014;
1648-5831;INFORMATICS IN EDUCATION;B1;0;13;0;0;0;0;
1350-4495;INFRARED PHYSICS & TECHNOLOGY;B1;28;49;1.713;1.827;0.00399;0.35;
0101-7136;INTER-AÇÃO (UFG. IMPRESSO);B1;0;0;0;0;0;0;
1981-8416;INTER-AÇÃO (UFG. ONLINE);B1;0;0;0;0;0;0;
1646-2335;INTERACCOES;B1;9;0;0;0;0;0;
1518-7012;INTERAÇÕES (CAMPO GRANDE);B1;7;0;0;0;0;0;
1984-042X;INTERAÇÕES (CAMPO GRANDE);B1;7;0;0;0;0;0;
0102-6453;INTERCOM: REVISTA BRASILEIRA DE CIENCIAS DA COMUNICACAO;B1;8;0;0;0;0;0;
1809-5844;INTERCOM (SÃO PAULO. IMPRESSO);B1;0;0;0;0;0;0;
1980-3508;INTERCOM (SÃO PAULO. ONLINE);B1;0;0;0;0;0;0;
1809-9777;INTERNATIONAL ARCHIVES OF OTORHINOLARYNGOLOGY (PRINT);B1;10;6;0;0;0;0;
0165-0254;INTERNATIONAL JOURNAL OF BEHAVIORAL DEVELOPMENT (PRINT);B1;26;68;1.85;2.058;0.00353;0.831;
1178-7074;INTERNATIONAL JOURNAL OF GENERAL MEDICINE;B1;26;20;0;0;0;0;
1550-1876;INTERNATIONAL JOURNAL OF INFORMATION AND COMMUNICATION TECHNOLOGY EDUCATION;B1;11;8;0;0;0;0;
1471-8197;INTERNATIONAL JOURNAL OF INNOVATION AND LEARNING (PRINT);B1;11;23;0;0;0;0;
1478-9655;INTERNATIONAL JOURNAL OF INTELLECTUAL PROPERTY MANAGEMENT (ONLINE);B1;0;9;0;0;0;0;
0260-1370;INTERNATIONAL JOURNAL OF LIFELONG EDUCATION;B1;17;24;0;0;0;0;
0827-3383;INTERNATIONAL JOURNAL OF SPECIAL EDUCATION;B1;14;16;0;0;0;0;
1946-3138;INTERNATIONAL JOURNAL OF URBAN SUSTAINABLE DEVELOPMENT;B1;8;5;0;0;0;0;
2191-1231;INTERNATIONAL JOURNAL ON DISABILITY AND HUMAN DEVELOPMENT;B1;13;19;0;0;0;0;
1537-2456;INTERNATIONAL JOURNAL ON E-LEARNING;B1;9;0;0;0;0;0;
1516-6821;INTERNATIONAL STUDIES ON LAW AND EDUCATION;B1;0;0;0;0;0;0;
1984-2406;INTERSECÇÕES (JUNDIAÍ);B1;0;0;0;0;0;0;
0120-5307;INVESTIGACION Y EDUCACION EN ENFERMERIA;B1;12;4;0;0;0;0;
2317-4722;JANGADA: CRÍTICA. LITERATURA. ARTES;B1;0;0;0;0;0;0;
1029-5968;JISTE. JOURNAL OF THE INTERNATIONAL SOCIETY FOR TEACHER EDUCATION;B1;0;0;0;0;0;0;
1806-3713;JORNAL BRASILEIRO DE PNEUMOLOGIA (IMPRESSO);B1;21;28;1.496;1.318;0.00193;0.329;
1981-1969;JORNAL DE POLÍTICAS EDUCACIONAIS;B1;0;0;0;0;0;0;
1472-9679;JOURNAL OF ADVENTURE EDUCATION AND OUTDOOR LEARNING;B1;0;9;0;0;0;0;
1529-9716;JOURNAL OF BISEXUALITY.;B1;17;15;0;0;0;0;
1548-7717;JOURNAL OF CASES ON INFORMATION TECHNOLOGY;B1;0;10;0;0;0;0;
1551-5036;JOURNAL OF COASTAL RESEARCH;B1;27;67;0.915;1.111;0.00836;0.29;
2237-9363;JOURNAL OF COLOPROCTOLOGY (RIO DE JANEIRO. IMPRESSO);B1;9;7;0;0;0;0;
1676-2649;JOURNAL OF EPILEPSY AND CLINICAL NEUROPHYSIOLOGY (IMPRESSO);B1;0;9;0;0;0;0;
1097-9751;JOURNAL OF EXERCISE PHYSIOLOGY ONLINE;B1;0;19;0;0;0;0;
1752-1947;JOURNAL OF MEDICAL CASE REPORTS;B1;19;22;0;0;0;0;
1061-3749;JOURNAL OF NURSING MEASUREMENT;B1;9;30;0;0;0;0;
2042-7158;JOURNAL OF PHARMACY AND PHARMACOLOGY;B1;33;0;2.405;2.506;0.00688;0.542;
0176-1617;JOURNAL OF PLANT PHYSIOLOGY (PRINT);B1;40;95;3.121;3.296;0.0131;0.801;
1471-3802;JOURNAL OF RESEARCH IN SPECIAL EDUCATIONAL NEEDS;B1;19;18;0;0;0;0;
1824-2049;JOURNAL OF SCIENCE COMMUNICATION;B1;9;9;0;0;0;0;
1678-4804;JOURNAL OF THE BRAZILIAN COMPUTER SOCIETY (ONLINE);B1;0;0;0;0;0;0;
1052-2263;JOURNAL OF VOCATIONAL REHABILITATION;B1;15;29;0;0;0;0;
2179-5428;LATITUDE;B1;4;0;0;0;0;0;
1981-5921;LATITUDE;B1;4;0;0;0;0;0;
1263-588X;LE TÉLÉMAQUE (DIJON);B1;0;0;0;0;0;0;
0302-9743;LECTURE NOTES IN COMPUTER SCIENCE;B1;0;251;0.402;0;0;0;
1611-3349;LECTURE NOTES IN COMPUTER SCIENCE (INTERNET);B1;0;0;0;0;0;0;
0102-387X;LEITURA. TEORIA & PRÁTICA;B1;3;0;0;0;0;0;
0102-387X;LEITURA. TEORIA & PRÁTICA (CAMPINAS);B1;0;0;0;0;0;0;
0102-387X;LEITURA: TEORIA E PRÁTICA;B1;0;0;0;0;0;0;
2317-0972;LEITURA: TEORIA E PRÁTICA;B1;0;0;0;0;0;0;
0755-9593;LES SCIENCES DE L'ÉDUCATION POUR L'ERE NOUVELLE;B1;0;2;0;0;0;0;
1981-5239;LETRAS & LETRAS (ONLINE);B1;0;0;0;0;0;0;
0101-3335;LETRAS DE HOJE (IMPRESSO);B1;1;0;0;0;0;0;
1984-7726;LETRAS DE HOJE (ONLINE);B1;0;0;0;0;0;0;
1982-4017;LINGUAGEM EM (DIS)CURSO (ONLINE);B1;0;0;0;0;0;0;
1518-0743;LINGUAGENS. EDUCAÇÃO E SOCIEDADE;B1;0;0;0;0;0;0;
1981-4755;LÍNGUAS & LETRAS (ONLINE);B1;0;0;0;0;0;0;
1517-7238;LÍNGUAS & LETRAS (UNIOESTE);B1;0;0;0;0;0;0;
1981-0431;LINHAS CRÍTICAS (ONLINE);B1;0;0;0;0;0;0;
1516-4896;LINHAS CRÍTICAS (UNB);B1;0;0;0;0;0;0;
2040-2589;LITERACY INFORMATION AND COMPUTER EDUCATION JOURNAL (LICEJ);B1;0;0;0;0;0;0;
0716-5811;LITERATURA Y LINGUÍSTICA (IMPRESA);B1;5;4;0;0;0;0;
1354-9839;LOCAL ENVIRONMENT;B1;31;44;0;0;0;0;
0104-9712;L&S CADERNOS DE LINGUAGEM E SOCIEDADE;B1;0;1;0;0;0;0;
0121-4128;LÚDICA PEDAGÓGICA;B1;2;0;0;0;0;0;
1983-6821;MACHADO DE ASSIS EM LINHA;B1;2;0;0;0;0;0;
2027-1174;MAGIS (EDITORIAL PONTIFICIA UNIVERSIDAD JAVERIANA);B1;0;4;0;0;0;0;
2027-1174;MAGIS REVISTA INTERNACIONAL DE INVESTIGACIÓN EN EDUCACIÓN;B1;10;4;0;0;0;0;
1678-4944;MANA (RIO DE JANEIRO. ONLINE);B1;0;0;0;0;0;0;
0104-9313;MANA (UFRJ. IMPRESSO);B1;0;7;0.056;0.128;0.0001;0.063;
2176-6665;MEDIAÇÕES - REVISTA DE CIÊNCIAS SOCIAIS;B1;7;0;0;0;0;0;
2176-6665;MEDIAÇÕES: REVISTA DE CIÊNCIAS SOCIAIS;B1;7;0;0;0;0;0;
2175-2753;META: AVALIAÇÃO;B1;0;3;0;0;0;0;
2182-2972;MOTRICIDADE;B1;13;0;0;0;0;0;
1646-107X;MOTRICIDADE (SANTA MARIA DA FEIRA);B1;0;7;0;0;0;0;
1980-6574;MOTRIZ - REVISTA DE EDUCAÇÃO FÍSICA - UNESP;B1;0;7;0.086;0;0.00019;0;
1980-6574;MOTRIZ : REVISTA DE EDUCAÇÃO FÍSICA (ONLINE);B1;0;7;0.086;0;0.00019;0;
1573-7721;MULTIMEDIA TOOLS AND APPLICATIONS (DORDRECHT. ONLINE);B1;0;0;1.53;1.572;0.00668;0.275;
0964-7775;MUSEUM MANAGEMENT AND CURATORSHIP (1990);B1;0;21;0;0;0;0;
1676-3939;MÚSICA HODIE;B1;4;2;0;0;0;0;
2011-799X;MUTATIS MUTANDIS (MEDELLIN. 2008);B1;0;2;0;0;0;0;
1981-4526;NAU LITERÁRIA;B1;0;0;0;0;0;0;
0121-7550;NÓMADAS (BOGOTÁ);B1;0;0;0;0;0;0;
0104-7809;O MUNDO DA SAÚDE (CUSC. IMPRESSO);B1;0;5;0;0;0;0;
1980-3990;O MUNDO DA SAÚDE (ONLINE);B1;0;0;0;0;0;0;
1012-1587;OPCIÓN (MARACAIBO);B1;0;2;0;0;0;0;
1846-3886;OPERATORS AND MATRICES;B1;14;11;0.44;0.516;0.00178;0.435;
0104-6276;OPINIÃO PÚBLICA (UNICAMP);B1;0;12;0;0;0;0;
0104-6276;OPINIÃO PÚBLICA (UNICAMP. IMPRESSO);B1;0;12;0;0;0;0;
1517-7017;OPUS (BELO HORIZONTE. ONLINE);B1;0;0;0;0;0;0;
0103-7412;OPUS (PORTO ALEGRE);B1;0;0;0;0;0;0;
1752-2471;ORAL SURGERY (PRINT);B1;6;7;0;0;0;0;
1539-4492;OTJR (THOROFARE. N.J.);B1;0;33;0.795;1.07;0.00043;0.236;
1982-8837;PANDAEMONIUM GERMANICUM (ONLINE);B1;0;0;0;0;0;0;
0264-3944;PASTORAL CARE IN EDUCATION (PRINT);B1;12;10;0;0;0;0;
1554-480X;PEDAGOGIES (MAHWAH. N.J.);B1;0;10;0;0;0;0;
2317-6377;PER MUSI (ONLINE);B1;0;0;0;0;0;0;
0718-9729;PERSPECTIVA EDUCACIONAL - FORMACIÓN DE PROFESORES;B1;0;0;0;0;0;0;
1981-5344;PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO;B1;9;0;0.101;0;0.00015;0;
1413-9936;PERSPECTIVAS EM CIÊNCIA DA INFORMAÇÃO (IMPRESSO);B1;9;6;0.101;0;0.00015;0;
1809-4481;PHYSIS [ON LINE];B1;0;12;0;0;0;0;
0103-7331;PHYSIS (UERJ. IMPRESSO);B1;0;12;0;0;0;0;
1935-2727;PLOS NEGLECTED TROPICAL DISEASES (PRINT);B1;72;87;3.834;4.253;0.06417;1.448;
1676-0727;POLÊM!CA;B1;6;0;0;0;0;0;
0718-6568;POLIS (SANTIAGO. EN LÍNEA);B1;0;0;0;0;0;0;
0717-6554;POLIS (SANTIAGO. IMPRESA);B1;12;0;0;0;0;0;
1130-8001;POLÍTICA Y SOCIEDAD;B1;9;4;0;0;0;0;
0162-895X;POLITICAL PSYCHOLOGY;B1;38;68;2.76;2.766;0.00585;1.64;
2216-0159;PRÁXIS & SABER: REVISTA DE INVESTIGACIÓN Y PEDAGOGÍA;B1;0;0;0;0;0;0;
1809-0249;PRÁXIS EDUCACIONAL;B1;0;0;0;0;0;0;
2178-2679;PRÁXIS EDUCACIONAL (ONLINE);B1;0;0;0;0;0;0;
1989-6395;PROFESORADO - REVISTA DE CURRÍCULUM Y FORMACIÓN DEL PROFESORADO;B1;20;0;0;0;0;0;
1138-414X;PROFESORADO (GRANADA);B1;0;4;0;0;0;0;
0327-4829;PROPUESTA EDUCATIVA (BUENOS AIRES);B1;0;0;0;0;0;0;
1995-7785;PROPUESTA EDUCATIVA (ONLINE);B1;0;0;0;0;0;0;
0103-5371;PSICO (PUCRS);B1;0;0;0;0;0;0;
0103-5371;PSICO (PUCRS. IMPRESSO);B1;0;0;0;0;0;0;
1980-8623;PSICO (PUCRS. ONLINE);B1;0;0;0;0;0;0;
1982-3703;PSICOLOGIA: CIÊNCIA E PROFISSÃO;B1;16;0;0;0;0;0;
1414-9893;PSICOLOGIA CIÊNCIA E PROFISSÃO;B1;16;0;0;0;0;0;
1982-3703;PSICOLOGIA: CIÊNCIA E PROFISSÃO (ONLINE);B1;0;0;0;0;0;0;
0103-5665;PSICOLOGIA CLÍNICA (PUCRJ. IMPRESSO);B1;0;5;0;0;0;0;
1414-6975;PSICOLOGIA DA EDUCAÇÃO (IMPRESSO);B1;4;0;0;0;0;0;
2175-3520;PSICOLOGIA DA EDUCAÇÃO (ONLINE);B1;0;0;0;0;0;0;
2011-7485;PSICOLOGIA DESDE EL CARIBE;B1;12;0;0;0;0;0;
0874-2391;PSICOLOGIA. EDUCAÇÃO E CULTURA;B1;0;0;0;0;0;0;
2182-8407;PSICOLOGIA. SAÚDE & DOENÇAS;B1;11;0;0;0;0;0;
1645-0086;PSICOLOGIA. SAÚDE & DOENÇAS;B1;11;0;0;0;0;0;
1516-3687;PSICOLOGIA: TEORIA E PRÁTICA (IMPRESSO);B1;9;0;0;0;0;0;
1678-5177;PSICOLOGIA USP;B1;8;0;0;0;0;0;
0103-6564;PSICOLOGIA USP (IMPRESSO);B1;8;6;0;0;0;0;
1413-8271;PSICO-USF;B1;13;0;0;0;0;0;
2175-3563;PSICO-USF;B1;13;0;0;0;0;0;
1413-8271;PSICO-USF (IMPRESSO);B1;13;0;0;0;0;0;
2238-7560;PUBLICATIO UEPG: CIÊNCIAS SOCIAIS APLICADAS;B1;2;0;0;0;0;0;
0872-3915;QUADRANTE (LISBOA);B1;0;0;0;0;0;0;
2177-5796;QUAESTIO: REVISTA DE ESTUDOS DE EDUCAÇÃO;B1;0;0;0;0;0;0;
1518-2886;QUAESTIO (UNISO);B1;0;0;0;0;0;0;
0104-8899;QUIMICA NOVA NA ESCOLA;B1;0;0;0;0;0;0;
2175-2699;QUIMICA NOVA NA ESCOLA;B1;0;0;0;0;0;0;
0104-8899;QUÍMICA NOVA NA ESCOLA (IMPRESSO);B1;0;0;0;0;0;0;
2175-2699;QUÍMICA NOVA NA ESCOLA (ONLINE);B1;0;0;0;0;0;0;
1982-7849;RAC. REVISTA DE ADMINISTRAÇÃO CONTEMPORÂNEA (ONLINE);B1;0;0;0;0;0;0;
0034-7590;RAE - REVISTA DE ADMINISTRAÇÃO DE EMPRESAS;B1;0;7;0.408;0.446;0.00015;0.048;
1676-5648;RAE ELETRÔNICA (ONLINE);B1;0;0;0;0;0;0;
0034-7590;RAE (IMPRESSO);B1;0;7;0;0;0;0;
1982-629X;RAÍDO;B1;5;0;0;0;0;0;
1984-4018;RAÍDO (ONLINE);B1;0;0;0;0;0;0;
1984-6142;RAUSP - REVISTA DE ADMINISTRAÇÃO (SÃO PAULO. ONLINE);B1;0;0;0;0;0;0;
0034-7264;RBM. REVISTA BRASILEIRA DE MEDICINA (RIO DE JANEIRO);B1;0;7;0;0;0;0;
2358-2332;RBPG - REVISTA BRASILEIRA DA PÓS-GRADUAÇÃO;B1;0;0;0;0;0;0;
1806-8405;RBPG. REVISTA BRASILEIRA DE PÓS-GRADUAÇÃO;B1;0;0;0;0;0;0;
1982-9949;REFLEXÃO E AÇÃO (ONLINE);B1;0;0;0;0;0;0;
0103-8842;REFLEXÃO E AÇÃO (UNISC. IMPR.);B1;0;0;0;0;0;0;
1982-9949;REFLEXÃO E AÇÃO (VERSÃO ELETRÔNICA);B1;0;0;0;0;0;0;
1984-0438;RELIGIÃO & SOCIEDADE;B1;4;0;0;0;0;0;
1982-131X;RETRATOS DA ESCOLA;B1;8;0;0;0;0;0;
1982-131X;RETRATOS DA ESCOLA;B1;0;0;0;0;0;0;
2238-4391;RETRATOS DA ESCOLA;B1;0;0;0;0;0;0;
2179-4456;REVELL ? REVISTA DE ESTUDOS LITERÁRIOS DA UEMS;B1;1;0;0;0;0;0;
1984-6576;REVELLI: REVISTA DE EDUCAÇÃO. LINGUAGEM E LITERATURA DA UEG-INHUMAS;B1;0;0;0;0;0;0;
1983-8042;REVISTA BIOÉTICA (IMPRESSO);B1;14;0;0;0;0;0;
1983-8034;REVISTA BIOÉTICA (ONLINE);B1;0;0;0;0;0;0;
0103-7072;REVISTA BRASILEIRA;B1;0;0;0;0;0;0;
0101-8981;REVISTA BRASILEIRA DE ADMINISTRAÇÃO DA EDUCAÇÃO;B1;0;0;0;0;0;0;
1415-8426;REVISTA BRASILEIRA DE CINEANTROPOMETRIA & DESEMPENHO HUMANO (IMPRESSO);B1;13;15;0;0;0;0;
1415-8426;REVISTA BRASILEIRA DE CINEANTROPOMETRIA & DESEMPENHO HUMANO (ONLINE);B1;0;15;0;0;0;0;
0104-1282;REVISTA BRASILEIRA DE CRESCIMENTO E DESENVOLVIMENTO HUMANO;B1;0;6;0;0;0;0;
2175-3598;REVISTA BRASILEIRA DE CRESCIMENTO E DESENVOLVIMENTO HUMANO;B1;0;0;0;0;0;0;
0104-1282;REVISTA BRASILEIRA DE CRESCIMENTO E DESENVOLVIMENTO HUMANO (IMPRESSO);B1;0;6;0;0;0;0;
1981-4690;REVISTA BRASILEIRA DE EDUCACAO FISICA E ESPORTE;B1;13;0;0;0;0;0;
1807-5509;REVISTA BRASILEIRA DE EDUCAÇÃO FÍSICA E ESPORTE;B1;13;0;0;0;0;0;
1807-5509;REVISTA BRASILEIRA DE EDUCAÇÃO FÍSICA E ESPORTE (IMPRESSO);B1;13;0;0;0;0;0;
0100-5502;REVISTA BRASILEIRA DE EDUCAÇÃO MÉDICA (IMPRESSO);B1;17;0;0;0;0;0;
1981-5271;REVISTA BRASILEIRA DE EDUCAÇÃO MÉDICA (ONLINE);B1;0;0;0;0;0;0;
1984-0446;REVISTA BRASILEIRA DE ENFERMAGEM;B1;29;0;0;0;0;0;
0034-7167;REVISTA BRASILEIRA DE ENFERMAGEM (IMPRESSO);B1;29;15;0;0;0;0;
1806-1117;REVISTA BRASILEIRA DE ENSINO DE FÍSICA (IMPRESSO);B1;0;0;0.099;0.153;0.00021;0.034;
1806-9126;REVISTA BRASILEIRA DE ENSINO DE FÍSICA (ONLINE);B1;0;0;0;0;0;0;
1981-2256;REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA;B1;23;0;0;0;0;0;
1981-2256;REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA;B1;23;0;0;0;0;0;
1809-9823;REVISTA BRASILEIRA DE GERIATRIA E GERONTOLOGIA (UNATI. IMPRESSO);B1;0;0;0;0;0;0;
0100-7203;REVISTA BRASILEIRA DE GINECOLOGIA E OBSTETRÍCIA (IMPRESSO);B1;17;16;0;0;0;0;
2175-3423;REVISTA BRASILEIRA DE HISTÓRIA & CIÊNCIAS SOCIAIS;B1;3;0;0;0;0;0;
2175-3423;REVISTA BRASILEIRA DE HISTÓRIA E CIÊNCIAS SOCIAIS;B1;3;0;0;0;0;0;
1414-5685;REVISTA BRASILEIRA DE INFORMÁTICA NA EDUCAÇÃO;B1;8;0;0;0;0;0;
1984-6398;REVISTA BRASILEIRA DE LINGUISTICA APLICADA;B1;11;0;0;0;0;0;
0103-6963;REVISTA BRASILEIRA DE LITERATURA COMPARADA;B1;0;0;0;0;0;0;
1517-8692;REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (IMPRESSO);B1;14;19;0.294;0.422;0.00045;0.073;
1806-9940;REVISTA BRASILEIRA DE MEDICINA DO ESPORTE (ONLINE);B1;0;0;0.294;0.422;0.00045;0.073;
1679-3390;REVISTA BRASILEIRA DE ORIENTAÇÃO PROFISSIONAL;B1;9;5;0;0;0;0;
1516-0572;REVISTA BRASILEIRA DE PLANTAS MEDICINAIS (IMPRESSO);B1;15;19;0;0;0;0;
1809-452X;REVISTA BRASILEIRA DE PSIQUIATRIA;B1;30;0;0;0;0;0;
1516-4446;REVISTA BRASILEIRA DE PSIQUIATRIA (SÃO PAULO. 1999. IMPRESSO);B1;0;41;2.049;2.439;0.00296;0.711;
1806-9304;REVISTA BRASILEIRA DE SAÚDE MATERNO INFANTIL;B1;13;0;0;0;0;0;
1519-3829;REVISTA BRASILEIRA DE SAÚDE MATERNO INFANTIL (IMPRESSO);B1;13;16;0;0;0;0;
0103-7072;REVISTA BRASILEIRA (RIO DE JANEIRO. 1941);B1;0;0;0;0;0;0;
0718-4565;REVISTA CALIDAD EN LA EDUCACIÓN;B1;0;0;0;0;0;0;
1516-1846;REVISTA CEFAC (IMPRESSO);B1;17;0;0;0;0;0;
1982-0216;REVISTA CEFAC (ONLINE);B1;0;30;0;0;0;0;
0717-7526;REVISTA CHILENA DE OBSTETRICIA Y GINECOLOGÍA (EN LÍNEA);B1;0;9;0;0;0;0;
1794-8347;REVISTA CIENCIAS ESTRATEGICAS;B1;0;0;0;0;0;0;
1981-9269;REVISTA COCAR;B1;5;0;0;0;0;0;
2237-0315;REVISTA COCAR (ONLINE);B1;0;0;0;0;0;0;
1981-9269;REVISTA COCAR (UEPA);B1;0;0;0;0;0;0;
0120-3916;REVISTA COLOMBIANA DE EDUCACIÓN;B1;9;0;0;0;0;0;
1130-2496;REVISTA COMPLUTENSE DE EDUCACIÓN;B1;9;6;0;0;0;0;
2238-121X;REVISTA COMUNICAÇÕES;B1;0;0;0;0;0;0;
1808-6578;REVISTA CONEXÃO UEPG;B1;5;0;0;0;0;0;
2238-7315;REVISTA CONEXÃO UEPG;B1;5;0;0;0;0;0;
2238-7315;REVISTA CONEXÃO UEPG;B1;5;0;0;0;0;0;
1808-057X;REVISTA CONTABILIDADE & FINANÇAS (ONLINE);B1;0;1;0;0;0;0;
0254-1106;REVISTA CRÍTICA DE CIÊNCIAS SOCIAIS;B1;11;2;0;0;0;0;
0138-6557;REVISTA CUBANA DE MEDICINA MILITAR (IMPRESA);B1;8;7;0;0;0;0;
0864-3466;REVISTA CUBANA DE SALUD PÚBLICA (IMPRESA);B1;17;7;0;0;0;0;
1518-2630;REVISTA DA ABEM;B1;7;0;0;0;0;0;
1809-6867;REVISTA DA ABORDAGEM GESTÁLTICA (IMPRESSO);B1;6;1;0;0;0;0;
1984-3542;REVISTA DA ABORDAGEM GESTÁLTICA (ONLINE);B1;0;0;0;0;0;0;
0103-3948;REVISTA DA EDUCAÇÃO FÍSICA (UEM. IMPRESSO);B1;12;4;0;0;0;0;
1983-3083;REVISTA DA EDUCAÇÃO FÍSICA (UEM. ONLINE);B1;0;4;0;0;0;0;
1678-9857;REVISTA DE ANTROPOLOGIA - USP;B1;0;5;0;0;0;0;
1519-3993;REVISTA DE EDUCAÇÃO (CAMPINAS);B1;5;0;0;0;0;0;
2236-6377;REVISTA DE EDUCAÇÃO. CIÊNCIA E CULTURA;B1;0;0;0;0;0;0;
1519-3993;REVISTA DE EDUCAÇÃO (PUCCAMP);B1;5;0;0;0;0;0;
1519-3993;REVISTA DE EDUCAÇÃO PUC-CAMPINAS;B1;5;0;0;0;0;0;
2318-0870;REVISTA DE EDUCAÇÃO PUC-CAMPINAS;B1;5;0;0;0;0;0;
1807-1775;REVISTA DE GESTÃO DA TECNOLOGIA E SISTEMAS DE INFORMAÇÃO (ONLINE);B1;0;0;0;0;0;0;
2316-9141;REVISTA DE HISTÓRIA;B1;6;0;0;0;0;0;
1414-0055;REVISTA DE HISTÓRIA REGIONAL;B1;4;1;0;0;0;0;
0034-8309;REVISTA DE HISTORIA (USP);B1;0;0;0;0;0;0;
0121-4993;REVISTA DE INGENIERIA UNIVERSIDAD DE LOS ANDES;B1;0;0;0;0;0;0;
0252-0257;REVISTA DE LA CEPAL (IMPRESA);B1;0;7;0;0;0;0;
0185-2760;REVISTA DE LA EDUCACIÓN SUPERIOR;B1;10;1;0;0;0;0;
1980-6906;REVISTA DE PSICOLOGIA : TEORIA E PRÁTICA (ONLINE);B1;0;0;0;0;0;0;
1576-5962;REVISTA DE PSICOLOGÍA DEL TRABAJO Y DE LAS ORGANIZACIONES (1999);B1;0;7;0;0;0;0;
0254-9247;REVISTA DE PSICOLOGÍA (LIMA);B1;0;0;0;0;0;0;
0034-8910;REVISTA DE SAÚDE PÚBLICA (IMPRESSO);B1;36;60;0;0;0;0;
0034-8910;REVISTA DE SAÚDE PÚBLICA (USP. IMPRESSO);B1;0;60;0;0;0;0;
2316-1795;REVISTA DIÁLOGO DAS LETRAS;B1;0;0;0;0;0;0;
0101-4366;REVISTA DO INSTITUTO HISTÓRICO E GEOGRÁFICO BRASILEIRO;B1;0;0;0;0;0;0;
0101-4366;REVISTA DO INSTITUTO HISTÓRICO E GEOGRAPHICO BRAZILEIRO;B1;0;0;0;0;0;0;
1806-0013;REVISTA DOR;B1;10;0;0;0;0;0;
1514-0105;REVISTA EF&C. EDUCACIÓN FÍSICA Y CIENCIA DE LA FHCE;B1;0;0;0;0;0;0;
1850-6666;REVISTA ELECTRÓNICA DE INVESTIGACIÓN EN EDUCACIÓN EN CIENCIAS (EN LÍNEA);B1;0;0;0;0;0;0;
1989-2446;REVISTA ELECTRÓNICA DE INVESTIGACIÓN Y DOCENCIA;B1;0;0;0;0;0;0;
1696-4713;REVISTA ELECTRÓNICA IBEROAMERICANA SOBRE CALIDAD. EFICACIA Y CAMBIO EN EDUCACIÓN;B1;0;0;0;0;0;0;
1982-7199;REVISTA ELETRÔNICA DE EDUCAÇÃO;B1;8;0;0;0;0;0;
1982-7199;REVISTA ELETRÔNICA DE EDUCAÇÃO (SÃO CARLOS);B1;0;0;0;0;0;0;
1982-7199;REVISTA ELETRÔNICA DE EDUCAÇÃO (UFSCAR);B1;0;0;0;0;0;0;
1517-1256;REVISTA ELETRÔNICA DO MESTRADO EM EDUCAÇÃO AMBIENTAL;B1;7;0;0;0;0;0;
1517-1256;REVISTA ELETRONICA DO MESTRADO EM EDUCAÇÃO AMBIENTAL (ONLINE);B1;0;0;0;0;0;0;
2176-5804;REVISTA ELETRÔNICA DOCUMENTO/MONUMENTO;B1;0;0;0;0;0;0;
2176-6673;REVISTA EM ABERTO - INEP;B1;0;0;0;0;0;0;
0104-3552;REVISTA ENFERMAGEM UERJ;B1;17;9;0;0;0;0;
2238-0302;REVISTA ESPAÇO PEDAGÓGICO;B1;6;0;0;0;0;0;
2176-9419;REVISTA FILOLOGIA E LINGUÍSTICA PORTUGUESA (VERSÃO ELETRÔNICA);B1;0;0;0;0;0;0;
1983-1447;REVISTA GAÚCHA DE ENFERMAGEM (ONLINE);B1;0;9;0;0;0;0;
0102-6933;REVISTA GAÚCHA DE ENFERMAGEM (UFRGS. IMPRESSO);B1;0;9;0;0;0;0;
2175-3709;REVISTA GEOGRAFARES;B1;0;0;0;0;0;0;
1676-2584;REVISTA HISTEDBR ON-LINE;B1;0;0;0;0;0;0;
1676-2584;REVISTA HISTEDBR ON-LINE;B1;0;0;0;0;0;0;
2317-109X;REVISTA HORIZONTES;B1;7;0;0;0;0;0;
1850-0013;REVISTA IBEROAMERICANA DE CIENCIA TECNOLOGÍA Y SOCIEDAD (EN LÍNEA);B1;0;0;0;0;0;0;
1138-2783;REVISTA IBEROAMERICANA DE EDUCACIÓN A DISTANCIA;B1;13;0;0;0;0;0;
2007-2872;REVISTA IBEROAMERICANA DE EDUCACIÓN SUPERIOR (RIES);B1;0;2;0;0;0;0;
1989-0397;REVISTA IBEROAMERICANA DE EVALUACIÓN EDUCATIVA;B1;10;0;0;0;0;0;
1646-2335;REVISTA INTERACÇÕES;B1;0;0;0;0;0;0;
2237-9843;REVISTA INTERDISCIPLINAR DA MOBILIDADE HUMANA;B1;11;0;0;0;0;0;
2446-9424;REVISTA INTERNACIONAL DE EDUCAÇÃO SUPERIOR;B1;0;0;0;0;0;0;
1984-2406;REVISTA INTERSECÇÕES (JUNDIAÍ);B1;0;0;0;0;0;0;
1982-0259;REVISTA KATALYSIS;B1;0;0;0;0;0;0;
1982-0259;REVISTA KATALYSIS;B1;0;0;0;0;0;0;
1692-715X;REVISTA LATINOAMERICANA DE CIENCIAS SOCIALES. NIÑEZ Y JUVENTUD;B1;16;0;0;0;0;0;
